,Cancellation Policy,Neighbourhood_Charlottenburg,Neighbourhood_Friedrichshain,Neighbourhood_Kreuzberg,Neighbourhood_Mitte,Neighbourhood_Moabit,Neighbourhood_Neukölln,Neighbourhood_Pankow,Neighbourhood_Prenzlauer Berg,Neighbourhood_Schöneberg,Neighbourhood_Tempelhof,Neighbourhood_Wedding,Accommodates,Bathrooms,Bedrooms,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Room Type_Private
12,2.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,27.0,100.0,20.0,1,15,21,1125,0,3,1
15,0.0,1,0,0,0,0,0,0,0,0,0,0,3,20.0,1.0,119.0,100.0,30.0,2,30,3,1125,275,10,1
36,1.0,1,0,0,0,0,0,0,0,0,0,0,1,10.0,1.0,65.0,90.0,5.0,1,30,2,1125,353,38,1
38,2.0,1,0,0,0,0,0,0,0,0,0,0,2,10.0,1.0,87.0,100.0,25.0,1,0,2,1125,321,42,1
46,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,50.0,100.0,40.0,1,20,2,718,113,152,1
49,2.0,0,1,0,0,0,0,0,0,0,0,0,6,10.0,2.0,50.0,300.0,50.0,2,20,5,1125,34,25,1
54,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,55.0,100.0,50.0,1,0,3,21,87,35,1
55,1.0,0,1,0,0,0,0,0,0,0,0,0,3,10.0,2.0,50.0,200.0,30.0,2,10,5,12,0,0,1
56,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,75.0,300.0,25.0,2,25,2,1125,92,4,1
61,1.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,1.0,89.0,200.0,35.0,1,0,2,1125,126,49,1
62,0.0,0,1,0,0,0,0,0,0,0,0,0,6,10.0,3.0,100.0,100.0,35.0,4,35,2,1125,1,1,1
65,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,60.0,400.0,20.0,1,0,1,1125,0,1,1
69,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,45.0,100.0,17.0,1,15,2,10,342,22,1
75,1.0,0,1,0,0,0,0,0,0,0,0,0,3,10.0,2.0,100.0,200.0,50.0,2,0,5,1125,91,5,1
79,2.0,0,1,0,0,0,0,0,0,0,0,0,14,20.0,6.0,279.0,500.0,150.0,12,25,3,1125,302,21,1
80,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,99.0,200.0,20.0,1,13,3,30,275,2,1
83,2.0,0,0,0,0,0,0,0,0,1,0,0,5,10.0,2.0,130.0,500.0,70.0,2,40,2,1125,21,8,1
86,2.0,0,0,0,0,0,0,0,0,1,0,0,4,10.0,1.0,45.0,100.0,15.0,1,15,3,999,16,11,1
91,0.0,0,0,0,0,0,0,0,0,1,0,0,2,10.0,1.0,45.0,100.0,20.0,1,5,2,5,323,7,1
99,2.0,0,0,0,0,0,0,0,0,1,0,0,4,10.0,0.0,39.0,100.0,40.0,2,10,1,365,86,0,1
100,2.0,0,0,0,0,0,0,0,0,1,0,0,5,10.0,2.0,65.0,200.0,40.0,1,5,5,1125,4,1,1
102,1.0,0,1,0,0,0,0,0,0,0,0,0,4,15.0,1.0,42.0,250.0,10.0,1,10,2,1125,323,36,1
108,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,35.0,200.0,15.0,1,10,1,1125,82,4,1
121,2.0,0,1,0,0,0,0,0,0,0,0,0,4,10.0,1.0,115.0,300.0,60.0,3,10,3,30,302,9,1
123,0.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,48.0,150.0,15.0,1,12,3,365,5,17,1
130,2.0,0,0,0,0,0,0,0,0,0,0,1,5,10.0,2.0,123.0,150.0,40.0,5,25,4,15,9,9,1
131,2.0,0,0,0,1,0,0,0,0,0,0,0,6,10.0,3.0,215.0,200.0,20.0,1,0,2,1125,164,29,1
135,2.0,0,0,0,1,0,0,0,0,0,0,0,4,10.0,2.0,170.0,200.0,20.0,1,0,2,1125,310,36,1
136,1.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,1.0,60.0,300.0,45.0,2,10,3,1125,12,2,1
137,2.0,0,0,0,0,0,0,0,0,0,0,1,8,15.0,4.0,120.0,400.0,80.0,2,20,3,7,24,37,1
138,2.0,0,0,0,0,0,0,0,0,0,0,1,4,10.0,2.0,75.0,400.0,25.0,1,0,3,1125,0,1,1
150,1.0,0,0,0,0,0,1,0,0,0,0,0,2,10.0,2.0,58.0,100.0,10.0,2,15,4,1125,0,4,1
162,1.0,0,1,0,0,0,0,0,0,0,0,0,2,10.0,1.0,45.0,100.0,10.0,1,10,1,4,84,0,1
