,id,superhost,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms
1,44616,f,Cuauhtémoc,19.41162,-99.17794,Entire home,Entire home/apt,14,5.5,8,18000,365,64,2,0,4.58,4.56,4.48,13,4,2
2,1441434,t,Cuauhtémoc,19.42910148014293,-99.16076301415174,Entire condo,Entire home/apt,2,1.5,1,3350,89,221,9,0,4.9,4.94,4.89,1,1,0
3,607833,f,Gustavo A. Madero,19.48321,-99.11241,Private room in rental unit,Private room,2,1.0,1,339,86,6,0,0,4.83,5.0,4.67,1,0,1
4,609012,f,Cuauhtémoc,19.43221,-99.15708,Entire rental unit,Entire home/apt,2,1.5,2,1273,329,22,0,0,4.67,4.82,4.59,1,1,0
5,1462549,t,Miguel Hidalgo,19.42833,-99.17634,Entire loft,Entire home/apt,2,2.0,2,1002,115,99,12,1,4.9,4.93,4.92,13,13,0
6,61792,t,Cuauhtémoc,19.41083,-99.18057,Private room in home,Private room,2,1.0,1,1018,180,64,3,0,4.92,4.89,4.88,2,0,2
7,1476127,t,Benito Juárez,19.38021,-99.16878,Private room in serviced apartment,Private room,2,1.0,1,950,345,237,40,2,4.97,4.97,4.98,2,1,1
8,67703,f,Cuauhtémoc,19.41152,-99.16857,Entire rental unit,Entire home/apt,4,1.0,2,1794,329,46,2,0,4.89,4.8,4.91,2,2,0
9,1483498,t,Cuauhtémoc,19.41301,-99.17819,Entire rental unit,Entire home/apt,4,1.5,2,1002,67,244,19,0,4.79,4.84,4.81,2,2,0
10,609594,f,Xochimilco,19.26541,-99.11365,Entire home,Entire home/apt,5,1.0,4,763,345,12,0,0,4.67,4.67,4.42,1,1,0
11,70644,t,Coyoacán,19.35448,-99.16217,Entire rental unit,Entire home/apt,2,1.0,1,1189,250,123,10,2,4.91,4.9,4.93,3,2,1
14,610914,t,Cuauhtémoc,19.43427,-99.13832,Entire condo,Entire home/apt,4,1.5,3,4755,117,1,0,0,5.0,5.0,5.0,6,6,0
15,611179,t,Cuauhtémoc,19.43542,-99.13802,Entire condo,Entire home/apt,2,1.5,2,3608,117,1,0,0,5.0,5.0,4.0,6,6,0
16,611337,t,Cuauhtémoc,19.43423,-99.13718,Entire condo,Entire home/apt,4,2.5,4,5604,117,4,0,0,5.0,5.0,5.0,6,6,0
17,107078,t,Miguel Hidalgo,19.43211,-99.19327,Entire loft,Entire home/apt,2,1.5,1,3191,312,11,2,0,4.91,5.0,4.82,3,3,0
18,1535383,f,Cuauhtémoc,19.4492288,-99.1627377,Entire rental unit,Entire home/apt,2,1.0,2,1120,89,1,1,0,5.0,5.0,5.0,2,2,0
20,613181,t,Cuauhtémoc,19.43826,-99.1366,Entire rental unit,Entire home/apt,4,1.0,2,958,298,206,22,0,4.76,4.79,4.74,1,1,0
21,165772,t,Miguel Hidalgo,19.40826,-99.18659,Entire home,Entire home/apt,16,5.0,10,3736,207,331,42,3,4.89,4.92,4.91,7,5,2
22,1547284,t,Benito Juárez,19.37845,-99.17221,Entire rental unit,Entire home/apt,4,2.0,3,950,306,59,9,1,4.93,4.97,4.88,2,2,0
23,1555819,t,Cuauhtémoc,19.41709,-99.16603,Entire rental unit,Entire home/apt,2,1.0,1,1620,162,335,28,3,4.87,4.88,4.83,3,3,0
24,171109,t,Benito Juárez,19.39675,-99.17581,Private room in rental unit,Private room,2,1.0,1,318,336,103,16,1,4.83,4.87,4.8,2,0,2
25,1565220,t,Álvaro Obregón,19.34735,-99.19016,Room in boutique hotel,Hotel room,2,1.0,1,2803,358,27,2,0,4.96,5.0,4.92,7,1,4
27,180808,t,Cuauhtémoc,19.4239,-99.1689,Entire loft,Entire home/apt,2,1.5,1,1469,171,49,5,1,4.8,4.88,4.71,1,1,0
28,628081,t,Cuauhtémoc,19.41936,-99.17281,Entire condo,Entire home/apt,3,1.0,1,1582,318,316,39,4,4.85,4.88,4.76,2,2,0
29,1627630,t,Cuauhtémoc,19.41501,-99.16565,Entire rental unit,Entire home/apt,3,1.0,2,1607,153,327,33,0,4.92,4.9,4.87,3,3,0
31,1635595,f,Cuauhtémoc,19.43149,-99.165543,Entire condo,Entire home/apt,3,1.0,1,1018,350,62,39,1,4.85,4.9,4.82,3,3,0
32,640803,f,Álvaro Obregón,19.35106,-99.19789,Entire home,Entire home/apt,4,2.5,2,5570,299,22,0,0,5.0,5.0,4.95,2,2,0
34,194937,t,Cuauhtémoc,19.41057,-99.1773,Entire rental unit,Entire home/apt,2,1.0,1,6800,37,73,7,0,4.71,4.71,4.7,6,6,0
36,642797,t,Miguel Hidalgo,19.41499,-99.18215,Entire rental unit,Entire home/apt,6,2.5,3,11384,318,100,4,0,4.91,4.88,4.72,2,2,0
