,Neighbourhood,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Price,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 365,Number of Reviews,Cancellation Policy
2,Lichtenberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,32.0,1,25,3,20,45,6,strict
3,Lichtenberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,40.0,1,0,1,5,212,9,flexible
4,Lichtenberg,Apartment,Private room,2,1.0,1.0,1.0,Pull-out Sofa,35.0,1,0,2,11,9,3,moderate
5,Lichtenberg,Condominium,Private room,1,1.0,1.0,1.0,Couch,15.0,1,8,1,5,30,4,moderate
9,Lichtenberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,21.0,1,10,1,7,363,4,moderate
10,Charlottenburg,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,65.0,1,0,2,10,2,3,moderate
11,Charlottenburg,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,55.0,1,0,2,30,173,4,strict
12,Charlottenburg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,27.0,1,15,21,1125,0,3,strict
13,Charlottenburg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,15,2,1125,168,1,flexible
15,Charlottenburg,Apartment,Entire home/apt,3,2.0,1.0,1.0,Real Bed,119.0,2,30,3,1125,275,10,flexible
16,Charlottenburg,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,79.0,3,10,60,1125,219,9,strict
19,Charlottenburg,Apartment,Entire home/apt,5,1.0,0.0,3.0,Real Bed,93.0,1,0,3,1125,326,57,moderate
20,Charlottenburg,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,80.0,1,0,1,21,0,72,strict
21,Charlottenburg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,59.0,1,15,2,10,336,5,strict
22,Charlottenburg,Bed & Breakfast,Private room,1,0.0,1.0,1.0,Real Bed,60.0,1,15,1,10,311,1,flexible
24,Lichtenberg,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,85.0,4,15,2,30,0,4,strict
25,Lichtenberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,35.0,1,0,1,1125,0,1,flexible
26,Lichtenberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,18.0,1,10,2,10,0,1,flexible
27,Lichtenberg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,40.0,1,0,1,2,0,0,flexible
28,Lichtenberg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,33.0,1,20,1,365,325,25,moderate
29,Lichtenberg,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,29.0,1,0,1,1125,0,0,flexible
31,Neukölln,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,12.0,1,0,10,1125,0,1,flexible
32,Neukölln,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,31.0,1,0,1,1125,300,23,flexible
33,Neukölln,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,85.0,1,38,4,1125,329,57,strict
34,Neukölln,Loft,Private room,2,1.0,1.0,1.0,Real Bed,25.0,1,0,5,1125,0,8,flexible
35,Charlottenburg,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,20.0,1,0,5,1125,0,0,flexible
36,Charlottenburg,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,65.0,1,30,2,1125,353,38,moderate
37,Charlottenburg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,50.0,1,0,1,1125,21,0,flexible
38,Charlottenburg,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,87.0,1,0,2,1125,321,42,strict
40,Charlottenburg,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,25.0,1,0,1,1125,0,1,flexible
45,Friedrichshain,House,Private room,2,1.0,1.0,4.0,Real Bed,75.0,1,0,1,1125,0,1,flexible
46,Friedrichshain,Apartment,Entire home/apt,2,1.0,1.0,1.0,Pull-out Sofa,50.0,1,20,2,718,113,152,flexible
