Neighbourhood,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Availability 365,Number of Reviews,days_rented,revenue
Lichtenberg,Entire home/apt,2,1.0,1.0,1.0,32.0,45,6,320,10240.0
Lichtenberg,Entire home/apt,2,1.0,1.0,1.0,40.0,212,9,153,6120.0
Lichtenberg,Private room,2,1.0,1.0,1.0,35.0,9,3,356,12460.0
Lichtenberg,Private room,1,1.0,1.0,1.0,15.0,30,4,335,5025.0
Lichtenberg,Private room,2,1.0,1.0,1.0,21.0,363,4,2,42.0
Charlottenburg,Entire home/apt,2,1.0,0.0,2.0,65.0,2,3,363,23595.0
Charlottenburg,Entire home/apt,2,1.0,0.0,1.0,55.0,173,4,192,10560.0
Charlottenburg,Entire home/apt,2,1.0,1.0,1.0,27.0,0,3,365,9855.0
Charlottenburg,Private room,2,1.0,1.0,1.0,40.0,168,1,197,7880.0
Charlottenburg,Entire home/apt,3,2.0,1.0,1.0,119.0,275,10,90,10710.0
Charlottenburg,Entire home/apt,4,1.0,1.0,2.0,79.0,219,9,146,11534.0
Charlottenburg,Entire home/apt,5,1.0,0.0,3.0,93.0,326,57,39,3627.0
Charlottenburg,Entire home/apt,3,1.0,1.0,2.0,80.0,0,72,365,29200.0
Charlottenburg,Private room,2,1.0,1.0,1.0,59.0,336,5,29,1711.0
Charlottenburg,Private room,1,0.0,1.0,1.0,60.0,311,1,54,3240.0
Lichtenberg,Entire home/apt,4,1.0,2.0,2.0,85.0,0,4,365,31025.0
Lichtenberg,Entire home/apt,2,1.0,1.0,1.0,35.0,0,1,365,12775.0
Lichtenberg,Private room,2,1.0,1.0,1.0,18.0,0,1,365,6570.0
Lichtenberg,Private room,2,1.0,1.0,1.0,40.0,0,0,365,14600.0
Lichtenberg,Entire home/apt,2,1.0,1.0,1.0,33.0,325,25,40,1320.0
Lichtenberg,Shared room,1,1.0,1.0,1.0,29.0,0,0,365,10585.0
Neukölln,Private room,1,1.0,1.0,1.0,12.0,0,1,365,4380.0
Neukölln,Private room,2,1.0,1.0,1.0,31.0,300,23,65,2015.0
Neukölln,Entire home/apt,4,2.0,2.0,2.0,85.0,329,57,36,3060.0
Neukölln,Private room,2,1.0,1.0,1.0,25.0,0,8,365,9125.0
Charlottenburg,Private room,2,1.0,1.0,1.0,20.0,0,0,365,7300.0
Charlottenburg,Private room,1,1.0,1.0,1.0,65.0,353,38,12,780.0
Charlottenburg,Entire home/apt,2,1.0,1.0,1.0,50.0,21,0,344,17200.0
Charlottenburg,Entire home/apt,2,1.0,1.0,1.0,87.0,321,42,44,3828.0
Charlottenburg,Private room,1,1.0,1.0,1.0,25.0,0,1,365,9125.0
Friedrichshain,Private room,2,1.0,1.0,4.0,75.0,0,1,365,27375.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,50.0,113,152,252,12600.0
Friedrichshain,Private room,2,0.5,1.0,1.0,50.0,342,1,23,1150.0
Friedrichshain,Private room,3,1.0,1.0,1.0,25.0,0,1,365,9125.0
Friedrichshain,Entire home/apt,6,1.0,2.0,4.0,50.0,34,25,331,16550.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,22.0,0,3,365,8030.0
Friedrichshain,Entire home/apt,2,1.0,1.0,2.0,55.0,87,35,278,15290.0
Friedrichshain,Entire home/apt,3,1.0,2.0,2.0,50.0,0,0,365,18250.0
Friedrichshain,Private room,2,1.0,1.0,1.0,75.0,92,4,273,20475.0
Friedrichshain,Private room,2,1.0,1.0,1.0,28.0,0,38,365,10220.0
Friedrichshain,Entire home/apt,4,1.0,1.0,2.0,150.0,364,63,1,150.0
Friedrichshain,Private room,2,2.0,1.0,1.0,20.0,0,2,365,7300.0
Friedrichshain,Private room,2,0.5,1.0,1.0,49.0,363,1,2,98.0
Friedrichshain,Entire home/apt,4,1.0,1.0,4.0,89.0,126,49,239,21271.0
Friedrichshain,Entire home/apt,6,1.0,3.0,3.0,100.0,1,1,364,36400.0
Friedrichshain,Private room,3,1.0,1.0,1.0,25.0,351,33,14,350.0
Friedrichshain,Entire home/apt,2,1.0,1.0,1.0,60.0,0,1,365,21900.0
Friedrichshain,Private room,2,1.0,1.0,2.0,17.0,0,2,365,6205.0
Friedrichshain,Private room,2,1.0,1.0,1.0,28.0,0,8,365,10220.0
Friedrichshain,Entire home/apt,4,1.0,1.0,2.0,120.0,15,0,350,42000.0
Friedrichshain,Private room,2,1.0,1.0,1.0,45.0,342,22,23,1035.0
Friedrichshain,Private room,2,1.0,1.0,1.0,35.0,351,51,14,490.0
Friedrichshain,Entire home/apt,3,1.0,2.0,2.0,100.0,91,5,274,27400.0
Friedrichshain,Private room,2,1.0,1.0,2.0,40.0,14,12,351,14040.0
Friedrichshain,Private room,1,1.0,1.0,1.0,20.0,0,0,365,7300.0
Friedrichshain,Private room,2,1.0,1.0,1.0,23.0,0,2,365,8395.0
Friedrichshain,Entire home/apt,14,2.0,6.0,6.0,279.0,302,21,63,17577.0
Schöneberg,Entire home/apt,2,1.0,1.0,1.0,99.0,275,2,90,8910.0
Schöneberg,Entire home/apt,3,1.5,1.0,1.0,69.0,0,5,365,25185.0
Schöneberg,Entire home/apt,3,1.0,2.0,2.0,60.0,146,1,219,13140.0
Schöneberg,Entire home/apt,5,1.0,2.0,2.0,130.0,21,8,344,44720.0
Schöneberg,Private room,2,1.0,1.0,1.0,68.0,364,0,1,68.0
Schöneberg,Private room,2,1.0,1.0,1.0,35.0,0,1,365,12775.0
Schöneberg,Entire home/apt,4,1.0,1.0,2.0,45.0,16,11,349,15705.0
Schöneberg,Entire home/apt,2,1.0,1.0,1.0,39.0,131,18,234,9126.0
Schöneberg,Private room,2,1.0,1.0,1.0,45.0,270,71,95,4275.0
Schöneberg,Private room,3,1.0,1.0,1.0,45.0,346,25,19,855.0
Schöneberg,Private room,1,1.0,1.0,1.0,24.0,314,4,51,1224.0
Schöneberg,Entire home/apt,2,1.0,1.0,1.0,45.0,323,7,42,1890.0
Schöneberg,Entire home/apt,2,1.0,0.0,1.0,37.0,6,2,359,13283.0
Schöneberg,Private room,2,1.0,1.0,1.0,45.0,349,8,16,720.0
Schöneberg,Entire home/apt,2,1.0,0.0,1.0,30.0,237,2,128,3840.0
Schöneberg,Entire home/apt,3,1.0,1.0,1.0,69.0,62,2,303,20907.0
Schöneberg,Private room,1,1.0,1.0,1.0,35.0,0,0,365,12775.0
Schöneberg,Entire home/apt,3,1.0,1.0,1.0,57.0,365,12,0,0.0
Schöneberg,Entire home/apt,3,1.0,1.0,2.0,64.0,27,5,338,21632.0
Schöneberg,Entire home/apt,4,1.0,0.0,2.0,39.0,86,0,279,10881.0
Schöneberg,Entire home/apt,5,1.0,2.0,3.0,65.0,4,1,361,23465.0
Friedrichshain,Private room,2,1.0,1.0,1.0,70.0,0,10,365,25550.0
Friedrichshain,Private room,4,1.5,1.0,2.0,42.0,323,36,42,1764.0
Friedrichshain,Private room,2,1.0,1.0,1.0,20.0,0,0,365,7300.0
Friedrichshain,Private room,2,1.0,1.0,1.0,35.0,82,4,283,9905.0
Friedrichshain,Private room,1,1.0,1.0,1.0,40.0,0,0,365,14600.0
