superhost,neighbourhood,room_type,accommodates,bathrooms,beds,price,availability_365,number_of_reviews,review_scores_rating,days_rented,revenue
f,Cuajimalpa de Morelos,Entire home/apt,2,1.0,1,3390.0,363,0,0.0,2,6780.0
f,Cuauhtémoc,Entire home/apt,14,5.5,8,18000.0,365,64,4.58,0,0.0
t,Cuauhtémoc,Entire home/apt,2,1.5,1,3350.0,89,221,4.9,276,924600.0
f,Gustavo A. Madero,Private room,2,1.0,1,339.0,86,6,4.83,279,94581.0
f,Cuauhtémoc,Entire home/apt,2,1.5,2,1273.0,329,22,4.67,36,45828.0
t,Miguel Hidalgo,Entire home/apt,2,2.0,2,1002.0,115,99,4.9,250,250500.0
t,Cuauhtémoc,Private room,2,1.0,1,1018.0,180,64,4.92,185,188330.0
t,Benito Juárez,Private room,2,1.0,1,950.0,345,237,4.97,20,19000.0
f,Cuauhtémoc,Entire home/apt,4,1.0,2,1794.0,329,46,4.89,36,64584.0
t,Cuauhtémoc,Entire home/apt,4,1.5,2,1002.0,67,244,4.79,298,298596.0
f,Xochimilco,Entire home/apt,5,1.0,4,763.0,345,12,4.67,20,15260.0
t,Coyoacán,Entire home/apt,2,1.0,1,1189.0,250,123,4.91,115,136735.0
t,Cuauhtémoc,Entire home/apt,4,1.5,3,4755.0,117,1,5.0,248,1179240.0
t,Cuauhtémoc,Entire home/apt,2,1.5,2,3608.0,117,1,5.0,248,894784.0
t,Cuauhtémoc,Entire home/apt,4,2.5,4,5604.0,117,4,5.0,248,1389792.0
t,Miguel Hidalgo,Entire home/apt,2,1.5,1,3191.0,312,11,4.91,53,169123.0
f,Cuauhtémoc,Entire home/apt,2,1.0,2,1120.0,89,1,5.0,276,309120.0
f,Coyoacán,Private room,2,1.0,1,1154.0,0,0,0.0,365,421210.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,958.0,298,206,4.76,67,64186.0
t,Miguel Hidalgo,Entire home/apt,16,5.0,10,3736.0,207,331,4.89,158,590288.0
t,Benito Juárez,Entire home/apt,4,2.0,3,950.0,306,59,4.93,59,56050.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,1620.0,162,335,4.87,203,328860.0
t,Benito Juárez,Private room,2,1.0,1,318.0,336,103,4.83,29,9222.0
t,Álvaro Obregón,Hotel room,2,1.0,1,2803.0,358,27,4.96,7,19621.0
f,Cuauhtémoc,Shared room,2,1.5,1,1697.0,0,0,0.0,365,619405.0
t,Cuauhtémoc,Entire home/apt,2,1.5,1,1469.0,171,49,4.8,194,284986.0
t,Cuauhtémoc,Entire home/apt,3,1.0,1,1582.0,318,316,4.85,47,74354.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1607.0,153,327,4.92,212,340684.0
f,Cuauhtémoc,Entire home/apt,3,1.0,1,1018.0,350,62,4.85,15,15270.0
f,Álvaro Obregón,Entire home/apt,4,2.5,2,5570.0,299,22,5.0,66,367620.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,6800.0,37,73,4.71,328,2230400.0
f,Cuauhtémoc,Private room,2,1.0,1,1500.0,0,0,0.0,365,547500.0
t,Miguel Hidalgo,Entire home/apt,6,2.5,3,11384.0,318,100,4.91,47,535048.0
f,Cuauhtémoc,Private room,1,1.0,1,1086.0,0,0,0.0,365,396390.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,1748.0,320,333,4.91,45,78660.0
f,Cuauhtémoc,Entire home/apt,3,1.0,2,800.0,219,191,4.61,146,116800.0
f,Cuauhtémoc,Entire home/apt,3,1.0,1,917.0,300,123,4.79,65,59605.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,780.0,363,29,4.61,2,1560.0
f,Miguel Hidalgo,Private room,1,1.0,1,504.0,347,1,5.0,18,9072.0
t,Venustiano Carranza,Entire home/apt,10,3.0,6,1009.0,346,107,4.56,19,19171.0
t,Cuauhtémoc,Entire home/apt,2,1.0,2,764.0,172,56,4.82,193,147452.0
t,Álvaro Obregón,Private room,2,1.0,1,1900.0,354,35,4.97,11,20900.0
t,Álvaro Obregón,Hotel room,2,1.0,1,1700.0,365,53,4.87,0,0.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1031.0,356,354,4.84,9,9279.0
t,Cuauhtémoc,Entire home/apt,6,2.0,3,1400.0,269,265,4.75,96,134400.0
t,Miguel Hidalgo,Entire home/apt,4,1.0,2,1130.0,347,148,4.58,18,20340.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,983.0,1,268,4.87,364,357812.0
f,Cuauhtémoc,Entire home/apt,6,2.0,4,1244.0,163,361,4.57,202,251288.0
f,Cuauhtémoc,Entire home/apt,2,1.0,2,1103.0,321,8,4.88,44,48532.0
t,Cuauhtémoc,Entire home/apt,1,1.0,1,594.0,298,117,4.9,67,39798.0
f,Benito Juárez,Entire home/apt,4,2.0,3,1000.0,328,95,4.82,37,37000.0
t,Cuauhtémoc,Private room,1,1.0,2,520.0,365,20,4.16,0,0.0
t,Miguel Hidalgo,Entire home/apt,14,4.5,10,3736.0,207,320,4.91,158,590288.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,1875.0,135,317,4.81,230,431250.0
f,Benito Juárez,Entire home/apt,4,1.5,4,950.0,328,3,5.0,37,35150.0
t,Miguel Hidalgo,Entire home/apt,6,2.0,3,1469.0,178,39,4.57,187,274703.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,1061.0,163,18,4.72,202,214322.0
f,Cuauhtémoc,Entire home/apt,3,1.0,1,1103.0,81,354,4.77,284,313252.0
t,Cuauhtémoc,Entire home/apt,4,1.0,2,1528.0,83,110,4.7,282,430896.0
f,Iztacalco,Entire home/apt,2,1.0,1,1697.0,0,0,0.0,365,619405.0
f,Cuauhtémoc,Entire home/apt,16,5.5,16,2377.0,285,133,4.76,80,190160.0
f,Cuauhtémoc,Hotel room,3,1.0,2,3608.0,360,7,4.71,5,18040.0
t,Cuauhtémoc,Hotel room,2,1.0,1,1200.0,363,25,4.68,2,2400.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,560.0,328,406,4.6,37,20720.0
t,Cuauhtémoc,Entire home/apt,2,1.0,1,1079.0,300,7,4.29,65,70135.0
t,Cuauhtémoc,Entire home/apt,3,1.5,1,662.0,30,36,4.81,335,221770.0
f,Benito Juárez,Private room,1,1.0,1,509.0,0,0,0.0,365,185785.0
t,Cuauhtémoc,Private room,2,1.0,1,450.0,328,87,4.77,37,16650.0
t,Cuauhtémoc,Private room,2,1.0,1,350.0,262,145,4.63,103,36050.0
t,Cuauhtémoc,Entire home/apt,3,1.0,2,1664.0,238,264,4.66,127,211328.0
f,Cuauhtémoc,Private room,2,1.5,1,679.0,363,5,4.75,2,1358.0
f,La Magdalena Contreras,Private room,1,1.5,1,7144.0,361,4,5.0,4,28576.0
f,Tlalpan,Private room,1,2.0,2,349.0,0,3,5.0,365,127385.0
t,Álvaro Obregón,Private room,2,1.0,1,1500.0,360,44,4.82,5,7500.0
f,Cuauhtémoc,Entire home/apt,3,1.0,2,800.0,309,194,4.66,56,44800.0
f,Tlalpan,Private room,2,1.0,1,509.0,348,2,5.0,17,8653.0
f,Cuajimalpa de Morelos,Private room,4,2.5,4,500.0,363,34,4.94,2,1000.0
f,Cuauhtémoc,Private room,1,1.0,1,424.0,0,106,4.78,365,154760.0
f,Cuauhtémoc,Private room,2,1.0,1,509.0,360,147,4.73,5,2545.0
t,Coyoacán,Private room,2,1.5,1,375.0,300,215,4.81,65,24375.0
t,Cuauhtémoc,Private room,2,1.0,1,650.0,61,137,4.86,304,197600.0
f,Benito Juárez,Entire home/apt,4,1.0,2,2021.0,358,77,4.87,7,14147.0
f,Miguel Hidalgo,Entire home/apt,6,1.0,1,1164.0,365,55,4.36,0,0.0
f,Cuauhtémoc,Entire home/apt,4,2.0,2,1697.0,208,56,4.77,157,266429.0
f,Cuauhtémoc,Private room,1,1.0,1,934.0,0,0,0.0,365,340910.0
f,Miguel Hidalgo,Entire home/apt,4,1.0,2,594.0,55,88,4.88,310,184140.0
t,Miguel Hidalgo,Private room,6,2.0,5,776.0,229,50,4.86,136,105536.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,900.0,269,45,4.56,96,86400.0
f,Cuauhtémoc,Entire home/apt,2,1.0,1,850.0,269,18,4.83,96,81600.0
f,Cuauhtémoc,Entire home/apt,4,1.0,4,971.0,270,16,4.69,95,92245.0
t,Cuauhtémoc,Entire home/apt,4,2.0,2,1358.0,318,38,4.87,47,63826.0
t,Miguel Hidalgo,Entire home/apt,2,1.0,1,700.0,107,41,4.9,258,180600.0
